ProductID,ProductName,Brand,Category,SubCategory,UnitPrice,CostPrice,GrossMargin,StockQty,Rating,TotalReviews,Warranty,IsActive,LaunchDate
P0001,SanDisk A95512GB,SanDisk,Electronics,Smartphones,44050,13020,70.4%,228,3.1,839,1 Year,Yes,2019-05-11
P0002,Samsung S30256GB,Samsung,Electronics,Laptops,91240,57450,37.0%,27,4.0,4464,6 Months,Yes,2022-02-13
P0003,Apple Plus44,Apple,Electronics,Tablets,48420,18190,62.4%,220,4.9,2757,1 Year,Yes,2020-02-01
P0004,Garmin Neo34Black,Garmin,Electronics,Headphones,3350,2180,34.9%,549,3.1,3100,1 Year,Yes,2023-01-21
P0005,Gigabyte X64GB,Gigabyte,Electronics,Earbuds,7770,6510,16.2%,296,5.0,1907,1 Year,Yes,2024-02-01
P0006,SanDisk M48Black,SanDisk,Electronics,Speakers,12340,3830,69.0%,686,3.4,584,2 Years,Yes,2021-09-29
P0007,Bose Plus35Gold,Bose,Electronics,Smartwatches,42940,14990,65.1%,701,3.5,458,2 Years,Yes,2022-07-16
P0008,Motorola X2816GB,Motorola,Electronics,Fitness Bands,5640,3180,43.6%,217,4.2,3241,6 Months,Yes,2020-07-25
P0009,WD Max34Green,WD,Electronics,Monitors,55960,33080,40.9%,597,3.7,1796,2 Years,Yes,2020-01-08
P0010,TCL X20128GB,TCL,Accessories,Keyboards,10580,1490,85.9%,696,3.7,520,6 Months,Yes,2024-04-01
P0011,HyperX Max216GB,HyperX,Accessories,Mice,5870,1120,80.9%,698,4.7,2185,3 Years,Yes,2023-11-16
P0012,Bose A93Gold,Bose,Accessories,Webcams,6890,2760,59.9%,512,4.5,4158,1 Year,Yes,2022-05-07
P0013,SanDisk Neo26Red,SanDisk,Accessories,Power Banks,1950,1160,40.5%,780,3.2,4344,1 Year,Yes,2024-06-24
P0014,Samsung Lite40512GB,Samsung,Accessories,USB Hubs,1480,360,75.7%,246,4.7,645,1 Year,Yes,2019-10-11
P0015,TCL M17Green,TCL,Accessories,Cables,1450,550,62.1%,562,3.2,4322,6 Months,No,2021-04-03
P0016,iBall Plus8632GB,iBall,Accessories,Chargers,2960,940,68.2%,448,4.8,3698,1 Year,Yes,2019-09-20
P0017,Fitbit Neo7164GB,Fitbit,Storage,SSDs,5270,3310,37.2%,225,2.8,482,2 Years,Yes,2019-05-09
P0018,Fitbit Max31256GB,Fitbit,Storage,HDDs,4780,3490,27.0%,219,4.0,4677,6 Months,Yes,2024-04-21
P0019,Google X134GB,Google,Storage,Pen Drives,3000,1060,64.7%,362,3.7,3825,1 Year,Yes,2020-02-08
P0020,Dell Lite14White,Dell,Networking,Routers,5070,1380,72.8%,194,4.0,1148,6 Months,Yes,2024-03-09
P0021,WD Ultra71256GB,WD,Electronics,Printers,8210,3710,54.8%,667,5.0,120,1 Year,No,2021-08-26
P0022,Bose Ultra62Silver,Bose,Electronics,Cameras,36020,18640,48.3%,60,3.2,17,6 Months,Yes,2024-02-07
P0023,Acer Max85Silver,Acer,Electronics,Smart TVs,106160,71790,32.4%,158,3.2,1783,1 Year,Yes,2019-09-07
P0024,Lava A7,Lava,Accessories,Gaming Gear,10070,8110,19.5%,514,4.8,4350,2 Years,Yes,2024-09-11
P0025,Lenovo X77,Lenovo,Accessories,Microphones,2110,1080,48.8%,413,3.1,4666,2 Years,Yes,2019-06-12
P0026,Kingston Plus85256GB,Kingston,Electronics,Smartphones,84500,42040,50.2%,535,3.5,2136,2 Years,Yes,2022-07-10
P0027,WD Plus1716GB,WD,Electronics,Laptops,113040,57320,49.3%,468,3.5,594,1 Year,Yes,2020-02-14
P0028,HP S65Green,HP,Electronics,Tablets,46760,12340,73.6%,357,4.7,2001,3 Years,Yes,2023-11-30
P0029,Razer Neo8432GB,Razer,Electronics,Headphones,1010,610,39.6%,679,3.0,1100,3 Years,Yes,2020-03-14
P0030,Lava M35Green,Lava,Electronics,Earbuds,9530,5130,46.2%,215,4.4,1667,3 Years,Yes,2021-10-25
P0031,Dell Plus36256GB,Dell,Electronics,Speakers,2140,410,80.8%,341,4.5,2145,2 Years,Yes,2023-10-18
P0032,MSI X1064GB,MSI,Electronics,Smartwatches,46280,10370,77.6%,558,2.9,3024,2 Years,Yes,2019-06-21
P0033,Noise A46Black,Noise,Electronics,Fitness Bands,2720,2000,26.5%,255,4.3,2897,6 Months,No,2020-09-25
P0034,WD M53,WD,Electronics,Monitors,8620,5730,33.5%,754,4.8,3372,2 Years,Yes,2020-03-18
P0035,LG Ultra29128GB,LG,Accessories,Keyboards,3570,2060,42.3%,358,3.5,1864,2 Years,Yes,2021-03-02
P0036,Motorola Pro9,Motorola,Accessories,Mice,6630,2470,62.7%,359,4.2,3274,3 Years,No,2020-04-17
P0037,Seagate Neo34,Seagate,Accessories,Webcams,1310,710,45.8%,610,3.8,2569,6 Months,Yes,2024-09-25
P0038,Realme Neo25White,Realme,Accessories,Power Banks,2780,490,82.4%,725,3.8,4259,2 Years,Yes,2019-10-14
P0039,Zebronics Neo41,Zebronics,Accessories,USB Hubs,3220,810,74.8%,737,4.8,4154,3 Years,Yes,2022-08-29
P0040,Motorola Max1732GB,Motorola,Accessories,Cables,490,280,42.9%,680,4.9,1425,3 Years,Yes,2019-01-02
P0041,Noise S5632GB,Noise,Accessories,Chargers,2670,1420,46.8%,670,3.5,3619,6 Months,Yes,2024-09-24
P0042,Nothing X37,Nothing,Storage,SSDs,9940,6340,36.2%,648,4.2,765,2 Years,Yes,2021-07-09
P0043,Anker A61TB,Anker,Storage,HDDs,4500,3450,23.3%,625,4.7,596,6 Months,Yes,2021-03-07
P0044,iBall Ultra52White,iBall,Storage,Pen Drives,1300,330,74.6%,671,4.3,873,6 Months,Yes,2024-10-22
P0045,iQOO Max32128GB,iQOO,Networking,Routers,2990,1530,48.8%,136,4.6,4351,3 Years,No,2023-12-18
P0046,Kingston Plus71Red,Kingston,Electronics,Printers,19610,6110,68.8%,761,4.7,3686,3 Years,Yes,2022-02-09
P0047,Itel Ultra81Red,Itel,Electronics,Cameras,39360,14500,63.2%,450,3.0,2340,2 Years,Yes,2022-08-02
P0048,Razer M20256GB,Razer,Electronics,Smart TVs,42310,20550,51.4%,710,3.1,1752,1 Year,Yes,2022-09-17
P0049,Razer Plus8Gold,Razer,Accessories,Gaming Gear,3890,2020,48.1%,398,4.8,4784,1 Year,Yes,2023-04-08
P0050,Nothing Lite3964GB,Nothing,Accessories,Microphones,7390,4030,45.5%,551,4.4,4473,2 Years,Yes,2022-01-22
P0051,Oppo A50Blue,Oppo,Electronics,Smartphones,52060,31500,39.5%,741,3.2,3828,2 Years,No,2024-12-27
P0052,Samsung Neo73White,Samsung,Electronics,Laptops,111900,21550,80.7%,85,4.2,1111,6 Months,Yes,2021-12-01
P0053,LG S59,LG,Electronics,Tablets,54840,30120,45.1%,779,4.7,2279,6 Months,Yes,2019-12-02
P0054,Nothing Max764GB,Nothing,Electronics,Headphones,23430,7650,67.3%,665,3.0,329,1 Year,No,2021-03-27
P0055,Samsung M31Midnight,Samsung,Electronics,Earbuds,4440,2120,52.3%,685,3.1,1785,6 Months,Yes,2023-02-19
P0056,Bose Neo96Midnight,Bose,Electronics,Speakers,24240,2280,90.6%,796,4.6,2548,1 Year,Yes,2022-07-01
P0057,Gigabyte Plus51,Gigabyte,Electronics,Smartwatches,47860,13600,71.6%,77,4.1,1989,1 Year,Yes,2022-05-20
P0058,Portronics X73Midnight,Portronics,Electronics,Fitness Bands,7410,940,87.3%,355,4.0,3035,1 Year,Yes,2022-10-29
P0059,Apple Ultra14Silver,Apple,Electronics,Monitors,35410,16870,52.4%,650,4.8,3766,2 Years,Yes,2024-11-07
P0060,Transcend Neo6916GB,Transcend,Accessories,Keyboards,8220,3990,51.5%,446,4.6,4853,3 Years,Yes,2021-10-02
P0061,Lenovo Ultra3216GB,Lenovo,Accessories,Mice,6450,3990,38.1%,583,4.1,3104,3 Years,Yes,2022-08-24
P0062,Logitech S46Blue,Logitech,Accessories,Webcams,7530,2720,63.9%,348,3.4,4883,3 Years,Yes,2024-10-17
P0063,Anker S93256GB,Anker,Accessories,Power Banks,4030,2400,40.4%,568,4.5,3900,6 Months,Yes,2019-03-12
P0064,Lenovo S5232GB,Lenovo,Accessories,USB Hubs,3330,1300,61.0%,313,4.3,3023,6 Months,Yes,2022-11-09
P0065,Oppo Lite46Green,Oppo,Accessories,Cables,1030,340,67.0%,313,3.4,988,2 Years,Yes,2021-01-28
P0066,Anker Ultra364GB,Anker,Accessories,Chargers,2710,1740,35.8%,537,4.1,823,2 Years,Yes,2023-01-18
P0067,Logitech A9132GB,Logitech,Storage,SSDs,10250,1940,81.1%,280,2.9,446,3 Years,Yes,2020-06-01
P0068,SanDisk X2Blue,SanDisk,Storage,HDDs,7200,2660,63.1%,480,3.9,2791,2 Years,No,2021-10-31
P0069,Nothing X52512GB,Nothing,Storage,Pen Drives,2310,330,85.7%,590,4.2,439,2 Years,Yes,2022-05-29
P0070,Lenovo X728GB,Lenovo,Networking,Routers,7820,5570,28.8%,610,4.5,1848,6 Months,Yes,2023-12-19
P0071,Noise Plus40Space Gray,Noise,Electronics,Printers,23630,5470,76.9%,624,4.9,812,2 Years,Yes,2021-12-19
P0072,Zebronics M31256GB,Zebronics,Electronics,Cameras,30780,23590,23.4%,76,3.1,3346,6 Months,Yes,2024-04-08
P0073,Acer S37128GB,Acer,Electronics,Smart TVs,104660,45060,56.9%,719,4.7,583,2 Years,No,2021-03-21
P0074,Oppo Max29512GB,Oppo,Accessories,Gaming Gear,11110,2740,75.3%,272,4.6,584,1 Year,Yes,2022-06-13
P0075,Crucial Pro57Space Gray,Crucial,Accessories,Microphones,3040,1560,48.7%,705,3.5,3297,3 Years,Yes,2024-07-15
P0076,Vivo Neo6256GB,Vivo,Electronics,Smartphones,64630,53140,17.8%,330,4.1,211,1 Year,Yes,2019-03-26
P0077,TCL Pro74,TCL,Electronics,Laptops,30270,24250,19.9%,774,3.2,4251,6 Months,No,2021-01-13
P0078,Corsair Ultra12Silver,Corsair,Electronics,Tablets,73600,30800,58.2%,418,3.5,856,2 Years,Yes,2024-07-22
P0079,Acer Plus98,Acer,Electronics,Headphones,2900,2160,25.5%,90,3.5,2648,1 Year,No,2023-07-14
P0080,Sennheiser Max6064GB,Sennheiser,Electronics,Earbuds,13840,1070,92.3%,192,3.9,4083,6 Months,Yes,2021-04-13
P0081,Asus M37Green,Asus,Electronics,Speakers,15060,11840,21.4%,496,3.1,4987,2 Years,Yes,2022-06-26
P0082,MSI Max5364GB,MSI,Electronics,Smartwatches,7110,2440,65.7%,116,3.8,962,2 Years,Yes,2022-04-10
P0083,Sennheiser Plus6216GB,Sennheiser,Electronics,Fitness Bands,4870,1600,67.1%,467,4.0,3142,2 Years,No,2024-09-12
P0084,Lava X361TB,Lava,Electronics,Monitors,57640,32190,44.2%,348,4.9,4159,3 Years,Yes,2022-03-04
P0085,Micromax Neo7532GB,Micromax,Accessories,Keyboards,11110,4190,62.3%,152,3.8,3967,3 Years,Yes,2023-03-26
P0086,iQOO S90,iQOO,Accessories,Mice,2260,1350,40.3%,392,3.3,3365,1 Year,Yes,2024-04-21
P0087,iBall Plus85White,iBall,Accessories,Webcams,7490,1850,75.3%,507,4.9,1034,3 Years,Yes,2023-12-09
P0088,OnePlus Ultra2Red,OnePlus,Accessories,Power Banks,1880,1240,34.0%,670,4.9,612,6 Months,Yes,2021-12-21
P0089,Fitbit Plus84Midnight,Fitbit,Accessories,USB Hubs,830,470,43.4%,690,4.7,3113,3 Years,Yes,2024-06-21
P0090,Razer Neo9128GB,Razer,Accessories,Cables,580,380,34.5%,700,4.8,1863,1 Year,Yes,2020-02-08
P0091,TCL X57Starlight,TCL,Accessories,Chargers,980,490,50.0%,29,2.9,459,3 Years,Yes,2023-10-31
P0092,JBL Max538GB,JBL,Storage,SSDs,10770,3850,64.3%,174,3.2,4992,6 Months,Yes,2021-09-13
P0093,Marshall M30Space Gray,Marshall,Storage,HDDs,6280,4110,34.6%,260,3.8,76,6 Months,No,2020-10-09
P0094,HP Lite76Gold,HP,Storage,Pen Drives,1520,1050,30.9%,706,3.4,2474,2 Years,No,2024-06-02
P0095,OnePlus Plus748GB,OnePlus,Networking,Routers,6880,5310,22.8%,302,5.0,2418,1 Year,No,2023-06-10
P0096,Asus Neo8864GB,Asus,Electronics,Printers,30500,5110,83.2%,620,4.4,2344,2 Years,Yes,2022-12-14
P0097,TP-Link S80Starlight,TP-Link,Electronics,Cameras,40850,27710,32.2%,773,4.4,1120,1 Year,No,2019-06-11
P0098,Noise A75Gold,Noise,Electronics,Smart TVs,59820,16610,72.2%,92,4.8,2676,6 Months,Yes,2020-06-25
P0099,Razer Max65Black,Razer,Accessories,Gaming Gear,4960,3700,25.4%,168,3.4,3947,3 Years,Yes,2022-10-19
P0100,Realme X19Gold,Realme,Accessories,Microphones,4700,3370,28.3%,741,4.3,3255,3 Years,Yes,2023-06-05
P0101,Apple Max1616GB,Apple,Electronics,Smartphones,67610,29160,56.9%,688,4.4,2147,6 Months,Yes,2023-03-02
P0102,OnePlus S61,OnePlus,Electronics,Laptops,28280,23080,18.4%,574,3.5,4997,2 Years,Yes,2024-03-16
P0103,Intex Plus1532GB,Intex,Electronics,Tablets,30320,9480,68.7%,38,3.5,4035,1 Year,Yes,2020-07-09
P0104,LG Lite86Gold,LG,Electronics,Headphones,27970,19540,30.1%,760,4.4,3398,1 Year,Yes,2023-07-30
P0105,Asus Lite28128GB,Asus,Electronics,Earbuds,14830,7460,49.7%,241,4.7,813,3 Years,Yes,2023-01-09
P0106,Dell Pro25White,Dell,Electronics,Speakers,4700,3870,17.7%,465,3.0,1737,1 Year,Yes,2022-09-28
P0107,WD Neo271TB,WD,Electronics,Smartwatches,5500,4000,27.3%,783,4.0,4803,2 Years,Yes,2021-08-12
P0108,Fitbit Neo11TB,Fitbit,Electronics,Fitness Bands,3270,1190,63.6%,133,4.0,1429,1 Year,Yes,2019-04-16
P0109,MI Lite3164GB,MI,Electronics,Monitors,45590,26220,42.5%,16,3.2,429,2 Years,Yes,2024-11-24
P0110,Realme Ultra58256GB,Realme,Accessories,Keyboards,6230,4380,29.7%,607,3.0,4127,2 Years,No,2019-06-27
P0111,Micromax Max39,Micromax,Accessories,Mice,4050,2820,30.4%,31,2.9,3923,6 Months,Yes,2020-03-18
P0112,Marshall X11Gold,Marshall,Accessories,Webcams,3640,3090,15.1%,151,2.9,2252,3 Years,Yes,2024-12-13
P0113,Acer Max78Gold,Acer,Accessories,Power Banks,4220,810,80.8%,718,3.1,4516,2 Years,Yes,2021-07-24
P0114,Google Ultra52,Google,Accessories,USB Hubs,2200,1790,18.6%,97,3.5,2560,3 Years,Yes,2020-09-17
P0115,Portronics X12Blue,Portronics,Accessories,Cables,270,80,70.4%,442,3.0,3052,2 Years,Yes,2022-09-12
P0116,Zebronics Plus46512GB,Zebronics,Accessories,Chargers,2030,1660,18.2%,52,4.9,4918,3 Years,Yes,2024-09-09
P0117,Belkin Ultra291TB,Belkin,Storage,SSDs,3270,1620,50.5%,569,3.6,2282,2 Years,Yes,2019-04-18
P0118,Crucial Pro4,Crucial,Storage,HDDs,3980,2060,48.2%,719,4.5,2783,3 Years,Yes,2020-08-09
P0119,Gigabyte Plus9,Gigabyte,Storage,Pen Drives,880,210,76.1%,93,4.4,1762,6 Months,Yes,2022-10-28
P0120,Bose Pro93Black,Bose,Networking,Routers,6310,5250,16.8%,610,3.0,430,2 Years,Yes,2019-07-23
P0121,Portronics Pro57256GB,Portronics,Electronics,Printers,26690,17390,34.8%,497,4.1,3392,3 Years,Yes,2024-09-29
P0122,Realme Plus15Black,Realme,Electronics,Cameras,45120,37390,17.1%,539,4.3,372,2 Years,Yes,2019-08-13
P0123,Apple Pro284GB,Apple,Electronics,Smart TVs,112580,25990,76.9%,782,3.4,2687,1 Year,Yes,2023-10-30
P0124,Logitech Plus691TB,Logitech,Accessories,Gaming Gear,12030,4070,66.2%,512,4.0,2901,1 Year,Yes,2019-06-23
P0125,Oppo Ultra1064GB,Oppo,Accessories,Microphones,6130,4120,32.8%,587,3.7,3421,3 Years,Yes,2019-03-27
P0126,boAt Neo59,boAt,Electronics,Smartphones,55430,10780,80.6%,447,4.7,1993,6 Months,Yes,2024-11-16
P0127,Lenovo Pro96White,Lenovo,Electronics,Laptops,69500,32520,53.2%,341,4.5,625,1 Year,Yes,2021-03-05
P0128,Itel Lite94Black,Itel,Electronics,Tablets,31360,15740,49.8%,105,3.1,1616,2 Years,Yes,2019-11-05
P0129,Logitech Ultra60Starlight,Logitech,Electronics,Headphones,29920,18800,37.2%,658,4.2,2647,3 Years,Yes,2019-10-07
P0130,Nothing Pro36Gold,Nothing,Electronics,Earbuds,19680,1100,94.4%,360,3.9,2542,6 Months,Yes,2019-08-22
P0131,Philips X8332GB,Philips,Electronics,Speakers,3660,2920,20.2%,608,3.9,3790,1 Year,Yes,2021-02-10
P0132,boAt Ultra65Midnight,boAt,Electronics,Smartwatches,10880,1610,85.2%,461,3.0,2813,1 Year,Yes,2020-12-07
P0133,Sony Ultra578GB,Sony,Electronics,Fitness Bands,5290,2740,48.2%,624,3.1,3054,3 Years,Yes,2022-10-17
P0134,Portronics A81Midnight,Portronics,Electronics,Monitors,49420,26930,45.5%,67,3.5,4570,6 Months,Yes,2020-09-07
P0135,Fitbit Neo85256GB,Fitbit,Accessories,Keyboards,2620,1610,38.5%,317,4.9,3210,2 Years,Yes,2019-12-14
P0136,Noise Plus83Green,Noise,Accessories,Mice,6780,2870,57.7%,130,4.3,4312,1 Year,Yes,2023-10-01
P0137,Sennheiser A47Black,Sennheiser,Accessories,Webcams,3530,1340,62.0%,219,3.6,3983,2 Years,Yes,2020-07-17
P0138,JBL Pro13256GB,JBL,Accessories,Power Banks,4860,2610,46.3%,756,4.7,309,3 Years,Yes,2020-06-20
P0139,Crucial M21White,Crucial,Accessories,USB Hubs,1240,1010,18.5%,789,4.2,1356,6 Months,Yes,2023-02-01
P0140,Portronics Ultra798GB,Portronics,Accessories,Cables,680,520,23.5%,239,4.0,2535,6 Months,No,2021-03-05
P0141,Philips Neo57,Philips,Accessories,Chargers,2190,1760,19.6%,288,4.5,4119,6 Months,No,2021-03-28
P0142,Crucial Pro71TB,Crucial,Storage,SSDs,12000,8770,26.9%,380,4.0,840,1 Year,Yes,2020-10-18
P0143,Asus Max19Gold,Asus,Storage,HDDs,6080,1880,69.1%,227,4.6,2863,1 Year,Yes,2023-06-12
P0144,Sennheiser S50Black,Sennheiser,Storage,Pen Drives,630,370,41.3%,229,2.9,811,3 Years,Yes,2020-07-17
P0145,Sony Ultra9032GB,Sony,Networking,Routers,3270,2520,22.9%,459,4.2,649,1 Year,Yes,2020-09-04
P0146,MSI Max55Midnight,MSI,Electronics,Printers,8640,6680,22.7%,295,3.3,998,1 Year,Yes,2024-02-16
P0147,HP Ultra77512GB,HP,Electronics,Cameras,78260,6580,91.6%,647,3.9,1981,2 Years,Yes,2019-01-07
P0148,Kingston S74Black,Kingston,Electronics,Smart TVs,66600,20280,69.5%,680,4.3,4288,3 Years,Yes,2024-11-24
P0149,Razer Max71Red,Razer,Accessories,Gaming Gear,830,500,39.8%,481,2.9,3169,3 Years,Yes,2019-03-08
P0150,Garmin Lite31256GB,Garmin,Accessories,Microphones,11760,5750,51.1%,106,4.5,2723,2 Years,Yes,2022-10-18
P0151,Transcend Ultra90,Transcend,Electronics,Smartphones,70720,46400,34.4%,186,4.6,516,6 Months,Yes,2021-04-05
P0152,Sony A414GB,Sony,Electronics,Laptops,147340,58640,60.2%,527,3.7,4448,6 Months,Yes,2021-02-21
P0153,Acer A84Black,Acer,Electronics,Tablets,55510,25900,53.3%,127,4.6,3579,6 Months,Yes,2023-05-03
P0154,Fitbit Ultra89,Fitbit,Electronics,Headphones,33100,12340,62.7%,531,3.4,676,6 Months,Yes,2021-01-09
P0155,Razer Lite1432GB,Razer,Electronics,Earbuds,2920,1520,47.9%,676,3.5,3652,6 Months,Yes,2023-12-24
P0156,Garmin A94Gold,Garmin,Electronics,Speakers,12250,7530,38.5%,281,4.2,469,1 Year,Yes,2023-07-22
P0157,Philips M4Red,Philips,Electronics,Smartwatches,10360,7780,24.9%,35,3.1,1933,3 Years,Yes,2019-05-13
P0158,Crucial Ultra481TB,Crucial,Electronics,Fitness Bands,4050,2420,40.2%,781,3.0,1127,3 Years,Yes,2022-02-15
P0159,WD A95512GB,WD,Electronics,Monitors,19190,13180,31.3%,530,3.7,4601,1 Year,Yes,2021-12-02
P0160,iBall S79Gold,iBall,Accessories,Keyboards,4980,3020,39.4%,502,3.2,1111,1 Year,Yes,2023-12-29
P0161,Lenovo Lite86,Lenovo,Accessories,Mice,3140,440,86.0%,563,4.0,2457,2 Years,Yes,2020-12-14
P0162,Philips S16Red,Philips,Accessories,Webcams,2640,2220,15.9%,142,3.3,4047,1 Year,Yes,2023-02-20
P0163,iQOO M79Green,iQOO,Accessories,Power Banks,1400,470,66.4%,316,3.7,3921,6 Months,Yes,2019-10-30
P0164,MI X58,MI,Accessories,USB Hubs,2410,1690,29.9%,529,3.6,4516,2 Years,Yes,2020-06-12
P0165,Oppo A16Red,Oppo,Accessories,Cables,1160,220,81.0%,311,3.2,2643,2 Years,Yes,2024-10-26
